Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-BlockBiLiGLU'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

# max_iters = 1e5
max_iters = 1e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 32.33M
num decayed parameter tensors: 44, with 32,722,944 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
0.48990631103515625
0.5018653869628906
0.5207710266113281
0.507080078125
0.5098457336425781
0.4809112548828125
step 0: train loss 10.8715, val loss 10.8711
iter 0: loss 10.8726, time 36837.55ms, mfu -100.00%
iter 10: loss 10.1826, time 74.43ms, mfu 15.69%
iter 20: loss 9.5960, time 74.35ms, mfu 15.69%
iter 30: loss 8.6346, time 74.40ms, mfu 15.69%
iter 40: loss 7.5886, time 74.40ms, mfu 15.69%
iter 50: loss 7.3931, time 74.42ms, mfu 15.69%
iter 60: loss 7.0882, time 74.41ms, mfu 15.69%
iter 70: loss 7.0876, time 74.43ms, mfu 15.69%
iter 80: loss 7.0098, time 74.37ms, mfu 15.69%
iter 90: loss 6.8879, time 74.35ms, mfu 15.69%
iter 100: loss 6.9689, time 74.51ms, mfu 15.69%
iter 110: loss 6.6916, time 74.54ms, mfu 15.69%
iter 120: loss 6.5075, time 74.36ms, mfu 15.69%
iter 130: loss 6.4826, time 74.48ms, mfu 15.69%
iter 140: loss 6.4579, time 74.51ms, mfu 15.68%
iter 150: loss 6.4147, time 73.14ms, mfu 15.71%
iter 160: loss 6.4122, time 74.57ms, mfu 15.71%
iter 170: loss 6.4399, time 74.49ms, mfu 15.70%
iter 180: loss 6.2327, time 74.49ms, mfu 15.70%
iter 190: loss 6.3100, time 74.15ms, mfu 15.70%
iter 200: loss 6.1463, time 74.57ms, mfu 15.70%
iter 210: loss 6.2304, time 74.58ms, mfu 15.70%
iter 220: loss 6.2725, time 74.52ms, mfu 15.69%
iter 230: loss 6.0918, time 74.49ms, mfu 15.69%
iter 240: loss 6.1935, time 74.52ms, mfu 15.69%
iter 250: loss 6.2572, time 74.63ms, mfu 15.68%
iter 260: loss 6.0295, time 74.54ms, mfu 15.68%
iter 270: loss 6.1640, time 75.09ms, mfu 15.67%
iter 280: loss 6.3381, time 74.52ms, mfu 15.67%
iter 290: loss 6.2387, time 74.07ms, mfu 15.68%
iter 300: loss 6.0983, time 74.54ms, mfu 15.68%
iter 310: loss 5.9751, time 74.53ms, mfu 15.67%
iter 320: loss 6.1400, time 74.53ms, mfu 15.67%
iter 330: loss 6.0849, time 74.53ms, mfu 15.67%
iter 340: loss 5.8738, time 74.53ms, mfu 15.67%
iter 350: loss 5.8898, time 74.51ms, mfu 15.67%
iter 360: loss 6.0422, time 74.48ms, mfu 15.67%
iter 370: loss 5.8592, time 74.76ms, mfu 15.67%
iter 380: loss 5.9844, time 74.75ms, mfu 15.66%
iter 390: loss 6.0064, time 75.79ms, mfu 15.64%
iter 400: loss 6.1134, time 74.33ms, mfu 15.64%
iter 410: loss 5.9497, time 73.96ms, mfu 15.66%
iter 420: loss 6.1067, time 74.68ms, mfu 15.65%
iter 430: loss 5.8861, time 74.49ms, mfu 15.66%
iter 440: loss 5.9521, time 74.50ms, mfu 15.66%
iter 450: loss 5.7588, time 74.53ms, mfu 15.66%
iter 460: loss 5.8656, time 74.54ms, mfu 15.66%
iter 470: loss 5.9105, time 74.51ms, mfu 15.66%
iter 480: loss 6.0517, time 74.49ms, mfu 15.66%
iter 490: loss 5.8982, time 74.51ms, mfu 15.66%
iter 500: loss 6.0825, time 74.53ms, mfu 15.66%
iter 510: loss 5.9467, time 74.51ms, mfu 15.66%
iter 520: loss 5.9244, time 74.22ms, mfu 15.67%
iter 530: loss 5.9826, time 74.88ms, mfu 15.66%
iter 540: loss 5.7613, time 74.55ms, mfu 15.66%
iter 550: loss 5.8307, time 74.52ms, mfu 15.66%
iter 560: loss 5.8370, time 74.69ms, mfu 15.66%
iter 570: loss 5.9244, time 74.54ms, mfu 15.66%
iter 580: loss 5.8849, time 74.30ms, mfu 15.66%
iter 590: loss 5.9998, time 74.23ms, mfu 15.67%
iter 600: loss 5.6548, time 74.53ms, mfu 15.67%
iter 610: loss 5.7428, time 74.49ms, mfu 15.67%
iter 620: loss 6.0587, time 74.58ms, mfu 15.67%
iter 630: loss 5.6325, time 74.50ms, mfu 15.67%
iter 640: loss 5.8400, time 74.53ms, mfu 15.67%
iter 650: loss 5.7777, time 74.52ms, mfu 15.67%
iter 660: loss 5.9682, time 74.52ms, mfu 15.67%
iter 670: loss 5.7578, time 74.54ms, mfu 15.67%
iter 680: loss 5.7333, time 74.88ms, mfu 15.66%
iter 690: loss 5.7342, time 74.52ms, mfu 15.66%
iter 700: loss 5.8927, time 74.53ms, mfu 15.66%
iter 710: loss 5.8406, time 74.36ms, mfu 15.66%
iter 720: loss 5.6187, time 74.51ms, mfu 15.67%
iter 730: loss 5.7879, time 74.28ms, mfu 15.67%
iter 740: loss 5.8109, time 74.86ms, mfu 15.66%
iter 750: loss 5.8239, time 74.44ms, mfu 15.66%
iter 760: loss 5.5596, time 74.58ms, mfu 15.66%
iter 770: loss 5.4874, time 74.55ms, mfu 15.66%
iter 780: loss 5.5678, time 74.83ms, mfu 15.66%
iter 790: loss 5.5878, time 74.55ms, mfu 15.66%
iter 800: loss 5.6526, time 74.48ms, mfu 15.66%
iter 810: loss 5.7545, time 74.55ms, mfu 15.66%
iter 820: loss 5.7303, time 74.57ms, mfu 15.66%
