((myvenv) ) hjh@autodl-container-1f8f48aae9-1a7a56b4:/root/autodl-tmp/hjh/nanoGPT$ python3 ./train.py ./config/train_nano_gpt2.py 
Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-BlockReGLU'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually

# max_iters = 1e5
max_iters = 2e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 29.99M
num decayed parameter tensors: 32, with 30,382,080 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
0.5037180582682291
0.4963175455729167
0.5294367472330729
0.48598988850911456
0.47472890218098956
0.5569508870442709
step 0: train loss 10.8908, val loss 10.8906
iter 0: loss 10.8888, time 35893.64ms, mfu -100.00%
iter 10: loss 10.1955, time 74.00ms, mfu 14.78%
iter 20: loss 9.6272, time 73.97ms, mfu 14.78%
iter 30: loss 8.6536, time 73.94ms, mfu 14.78%
iter 40: loss 7.9566, time 73.93ms, mfu 14.78%
iter 50: loss 7.4469, time 73.94ms, mfu 14.78%
iter 60: loss 7.3301, time 73.95ms, mfu 14.78%
iter 70: loss 7.2726, time 73.97ms, mfu 14.78%
iter 80: loss 6.9178, time 73.96ms, mfu 14.78%
iter 90: loss 6.8458, time 74.02ms, mfu 14.78%
iter 100: loss 6.9876, time 73.96ms, mfu 14.78%
iter 110: loss 6.6181, time 74.01ms, mfu 14.78%
iter 120: loss 6.7740, time 74.00ms, mfu 14.78%
iter 130: loss 6.6590, time 73.96ms, mfu 14.78%
iter 140: loss 6.4982, time 73.97ms, mfu 14.78%
iter 150: loss 6.2474, time 74.05ms, mfu 14.78%
iter 160: loss 6.6668, time 74.14ms, mfu 14.78%
iter 170: loss 6.2017, time 74.09ms, mfu 14.78%
iter 180: loss 6.4447, time 74.10ms, mfu 14.78%
iter 190: loss 6.3370, time 74.07ms, mfu 14.77%
iter 200: loss 6.4983, time 74.12ms, mfu 14.77%
iter 210: loss 6.4423, time 74.12ms, mfu 14.77%
iter 220: loss 6.3271, time 74.13ms, mfu 14.77%
iter 230: loss 6.6220, time 74.12ms, mfu 14.77%
iter 240: loss 6.3802, time 74.12ms, mfu 14.77%
iter 250: loss 6.2757, time 74.08ms, mfu 14.77%
iter 260: loss 6.1771, time 74.12ms, mfu 14.77%
iter 270: loss 6.1747, time 74.12ms, mfu 14.76%
iter 280: loss 6.4513, time 74.10ms, mfu 14.76%
iter 290: loss 6.2504, time 74.09ms, mfu 14.76%
iter 300: loss 6.0821, time 74.15ms, mfu 14.76%
iter 310: loss 6.1815, time 74.12ms, mfu 14.76%
iter 320: loss 6.0211, time 74.11ms, mfu 14.76%
iter 330: loss 6.0957, time 74.16ms, mfu 14.76%
iter 340: loss 6.0927, time 74.11ms, mfu 14.76%
iter 350: loss 6.1476, time 74.13ms, mfu 14.76%
iter 360: loss 6.1823, time 74.11ms, mfu 14.76%
iter 370: loss 6.0035, time 74.12ms, mfu 14.76%
iter 380: loss 6.3581, time 74.12ms, mfu 14.76%
iter 390: loss 5.9292, time 74.13ms, mfu 14.76%
iter 400: loss 5.9312, time 74.14ms, mfu 14.76%
iter 410: loss 6.2314, time 74.10ms, mfu 14.76%
iter 420: loss 6.1312, time 74.16ms, mfu 14.76%
iter 430: loss 5.9397, time 74.10ms, mfu 14.76%
iter 440: loss 5.8410, time 74.15ms, mfu 14.76%
iter 450: loss 6.3712, time 74.07ms, mfu 14.76%
iter 460: loss 6.1304, time 74.16ms, mfu 14.76%
iter 470: loss 6.1024, time 74.13ms, mfu 14.76%
iter 480: loss 6.0304, time 74.09ms, mfu 14.76%
iter 490: loss 6.0187, time 74.14ms, mfu 14.76%
iter 500: loss 5.8901, time 74.13ms, mfu 14.76%
iter 510: loss 5.9234, time 74.14ms, mfu 14.76%
iter 520: loss 5.8781, time 74.08ms, mfu 14.76%
iter 530: loss 5.7989, time 74.16ms, mfu 14.76%
iter 540: loss 6.0157, time 74.15ms, mfu 14.76%
iter 550: loss 5.7694, time 74.12ms, mfu 14.76%
iter 560: loss 5.7164, time 74.08ms, mfu 14.76%
iter 570: loss 5.8260, time 74.13ms, mfu 14.76%
iter 580: loss 5.8655, time 74.14ms, mfu 14.76%
iter 590: loss 5.7832, time 74.09ms, mfu 14.76%
iter 600: loss 5.7231, time 74.13ms, mfu 14.76%
iter 610: loss 5.8789, time 74.12ms, mfu 14.76%
iter 620: loss 5.8691, time 74.13ms, mfu 14.76%
iter 630: loss 5.9917, time 74.13ms, mfu 14.76%
iter 640: loss 5.7998, time 74.09ms, mfu 14.76%
iter 650: loss 5.7682, time 74.09ms, mfu 14.76%
iter 660: loss 6.0539, time 74.08ms, mfu 14.76%
iter 670: loss 5.7128, time 74.13ms, mfu 14.76%
iter 680: loss 5.6509, time 74.14ms, mfu 14.76%
iter 690: loss 5.7737, time 74.14ms, mfu 14.76%
iter 700: loss 5.7807, time 74.14ms, mfu 14.76%
iter 710: loss 5.7806, time 74.11ms, mfu 14.76%
iter 720: loss 5.8731, time 74.09ms, mfu 14.76%
iter 730: loss 5.7666, time 74.14ms, mfu 14.76%
iter 740: loss 5.6783, time 74.11ms, mfu 14.76%
iter 750: loss 5.5567, time 74.14ms, mfu 14.76%
iter 760: loss 5.8379, time 74.10ms, mfu 14.76%
iter 770: loss 5.7265, time 74.14ms, mfu 14.76%
iter 780: loss 5.9114, time 74.11ms, mfu 14.76%
iter 790: loss 5.7493, time 74.10ms, mfu 14.76%
iter 800: loss 5.8326, time 74.16ms, mfu 14.76%
