Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-BlockReGLU2'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually

# max_iters = 1e5
max_iters = 2e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 29.99M
num decayed parameter tensors: 32, with 30,382,080 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
0.5037180582682291
0.48824310302734375
0.4913991292317708
0.5018132527669271
0.5004247029622396
0.5008366902669271
step 0: train loss 10.8849, val loss 10.8845
iter 0: loss 10.8799, time 35689.95ms, mfu -100.00%
iter 10: loss 10.2531, time 74.02ms, mfu 14.78%
iter 20: loss 9.7109, time 74.00ms, mfu 14.78%
iter 30: loss 8.8308, time 73.99ms, mfu 14.78%
iter 40: loss 8.0787, time 73.98ms, mfu 14.78%
iter 50: loss 7.5363, time 74.04ms, mfu 14.78%
iter 60: loss 7.4500, time 73.98ms, mfu 14.78%
iter 70: loss 7.3892, time 74.01ms, mfu 14.78%
iter 80: loss 7.0245, time 74.03ms, mfu 14.78%
iter 90: loss 6.9393, time 74.07ms, mfu 14.78%
iter 100: loss 7.0625, time 74.06ms, mfu 14.78%
iter 110: loss 6.6719, time 74.07ms, mfu 14.77%
iter 120: loss 6.8170, time 74.00ms, mfu 14.77%
iter 130: loss 6.6901, time 74.07ms, mfu 14.77%
iter 140: loss 6.5039, time 74.07ms, mfu 14.77%
iter 150: loss 6.2519, time 74.09ms, mfu 14.77%
iter 160: loss 6.6819, time 74.03ms, mfu 14.77%
iter 170: loss 6.2081, time 74.11ms, mfu 14.77%
iter 180: loss 6.4605, time 74.03ms, mfu 14.77%
iter 190: loss 6.3297, time 74.11ms, mfu 14.77%
iter 200: loss 6.4910, time 74.05ms, mfu 14.77%
iter 210: loss 6.4481, time 74.14ms, mfu 14.77%
iter 220: loss 6.3229, time 74.08ms, mfu 14.77%
iter 230: loss 6.6147, time 74.10ms, mfu 14.77%
iter 240: loss 6.3814, time 74.14ms, mfu 14.77%
iter 250: loss 6.2746, time 74.20ms, mfu 14.76%
iter 260: loss 6.1871, time 74.13ms, mfu 14.76%
iter 270: loss 6.1688, time 74.18ms, mfu 14.76%
iter 280: loss 6.4697, time 74.14ms, mfu 14.76%
iter 290: loss 6.2485, time 74.15ms, mfu 14.76%
iter 300: loss 6.0777, time 74.09ms, mfu 14.76%
iter 310: loss 6.1452, time 74.14ms, mfu 14.76%
iter 320: loss 6.0191, time 74.19ms, mfu 14.76%
iter 330: loss 6.0953, time 74.22ms, mfu 14.75%
iter 340: loss 6.1040, time 74.12ms, mfu 14.75%
iter 350: loss 6.1746, time 74.19ms, mfu 14.75%
iter 360: loss 6.1835, time 74.16ms, mfu 14.75%
iter 370: loss 6.0040, time 74.13ms, mfu 14.75%
iter 380: loss 6.3413, time 74.17ms, mfu 14.75%
iter 390: loss 5.9206, time 74.13ms, mfu 14.75%
iter 400: loss 5.9129, time 74.16ms, mfu 14.75%
iter 410: loss 6.2059, time 74.22ms, mfu 14.75%
iter 420: loss 6.1158, time 74.15ms, mfu 14.75%
iter 430: loss 5.9463, time 74.17ms, mfu 14.75%
iter 440: loss 5.8394, time 74.19ms, mfu 14.75%
iter 450: loss 6.3718, time 74.10ms, mfu 14.75%
iter 460: loss 6.1156, time 74.11ms, mfu 14.75%
iter 470: loss 6.0899, time 74.17ms, mfu 14.75%
iter 480: loss 6.0213, time 74.13ms, mfu 14.75%
iter 490: loss 5.9968, time 74.20ms, mfu 14.75%
iter 500: loss 5.8875, time 74.21ms, mfu 14.75%
iter 510: loss 5.9153, time 74.19ms, mfu 14.75%
iter 520: loss 5.8811, time 74.20ms, mfu 14.75%
iter 530: loss 5.8015, time 74.19ms, mfu 14.75%
iter 540: loss 6.0264, time 74.18ms, mfu 14.75%
iter 550: loss 5.7661, time 74.18ms, mfu 14.75%
iter 560: loss 5.7206, time 74.20ms, mfu 14.75%
iter 570: loss 5.8314, time 74.18ms, mfu 14.75%
iter 580: loss 5.8867, time 74.19ms, mfu 14.74%
iter 590: loss 5.7971, time 74.20ms, mfu 14.74%
iter 600: loss 5.7298, time 74.14ms, mfu 14.75%
iter 610: loss 5.8810, time 74.18ms, mfu 14.75%
iter 620: loss 5.8837, time 74.20ms, mfu 14.74%
iter 630: loss 6.0114, time 74.19ms, mfu 14.74%
iter 640: loss 5.8337, time 74.15ms, mfu 14.74%
iter 650: loss 5.7734, time 74.25ms, mfu 14.74%
iter 660: loss 6.0321, time 74.28ms, mfu 14.74%
iter 670: loss 5.7388, time 74.22ms, mfu 14.74%
iter 680: loss 5.6978, time 74.18ms, mfu 14.74%
iter 690: loss 5.8077, time 74.22ms, mfu 14.74%
iter 700: loss 5.8113, time 74.15ms, mfu 14.74%
iter 710: loss 5.8064, time 74.16ms, mfu 14.74%
iter 720: loss 5.9040, time 74.21ms, mfu 14.74%
iter 730: loss 5.7712, time 74.20ms, mfu 14.74%
iter 740: loss 5.7224, time 74.18ms, mfu 14.74%
iter 750: loss 5.5973, time 74.24ms, mfu 14.74%
iter 760: loss 5.8771, time 74.18ms, mfu 14.74%
iter 770: loss 5.7580, time 74.18ms, mfu 14.74%
iter 780: loss 5.9669, time 74.23ms, mfu 14.74%
iter 790: loss 5.8058, time 74.27ms, mfu 14.74%
iter 800: loss 5.8917, time 74.13ms, mfu 14.74%
iter 810: loss 5.7017, time 74.16ms, mfu 14.74%
iter 820: loss 5.7184, time 74.19ms, mfu 14.74%
iter 830: loss 5.9597, time 74.22ms, mfu 14.74%
