Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-BlockTReGLU'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually

# max_iters = 1e5
max_iters = 2e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 29.98M
num decayed parameter tensors: 38, with 30,363,648 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
0.5038337707519531
0.4987030029296875
0.4992790222167969
0.4517860412597656
0.5587348937988281
0.5047454833984375
step 0: train loss 10.8318, val loss 10.8319
iter 0: loss 10.8408, time 51101.77ms, mfu -100.00%
iter 10: loss 10.1698, time 92.83ms, mfu 11.78%
iter 20: loss 9.5851, time 74.29ms, mfu 12.07%
iter 30: loss 8.6417, time 95.06ms, mfu 12.01%
iter 40: loss 7.7951, time 17.34ms, mfu 17.12%
iter 50: loss 7.3918, time 74.67ms, mfu 16.87%
iter 60: loss 7.3562, time 70.16ms, mfu 16.74%
iter 70: loss 7.2261, time 74.38ms, mfu 16.53%
iter 80: loss 6.9012, time 74.24ms, mfu 16.35%
iter 90: loss 6.8007, time 100.65ms, mfu 15.80%
iter 100: loss 6.7386, time 74.40ms, mfu 15.69%
iter 110: loss 6.6472, time 74.42ms, mfu 15.59%
iter 120: loss 6.5337, time 98.56ms, mfu 15.14%
iter 130: loss 6.5119, time 74.39ms, mfu 15.10%
iter 140: loss 6.2661, time 100.71ms, mfu 14.67%
iter 150: loss 6.6325, time 74.75ms, mfu 14.67%
iter 160: loss 6.3878, time 66.59ms, mfu 14.84%
iter 170: loss 6.2793, time 74.16ms, mfu 14.83%
iter 180: loss 6.3019, time 74.45ms, mfu 14.82%
iter 190: loss 6.3059, time 74.40ms, mfu 14.81%
iter 200: loss 6.5559, time 74.33ms, mfu 14.80%
iter 210: loss 6.1864, time 74.39ms, mfu 14.79%
iter 220: loss 6.2577, time 74.38ms, mfu 14.78%
iter 230: loss 6.2166, time 74.43ms, mfu 14.77%
iter 240: loss 6.1530, time 74.50ms, mfu 14.76%
iter 250: loss 6.4204, time 74.49ms, mfu 14.75%
iter 260: loss 6.6041, time 74.52ms, mfu 14.74%
iter 270: loss 6.2345, time 74.51ms, mfu 14.73%
iter 280: loss 6.4433, time 74.55ms, mfu 14.73%
iter 290: loss 6.2182, time 74.50ms, mfu 14.72%
iter 300: loss 6.0320, time 74.39ms, mfu 14.72%
iter 310: loss 6.3470, time 74.47ms, mfu 14.72%
iter 320: loss 6.2072, time 74.87ms, mfu 14.70%
iter 330: loss 6.1755, time 74.49ms, mfu 14.70%
iter 340: loss 5.9623, time 74.50ms, mfu 14.70%
iter 350: loss 6.0055, time 74.37ms, mfu 14.70%
iter 360: loss 5.9816, time 74.51ms, mfu 14.70%
iter 370: loss 6.2311, time 74.59ms, mfu 14.69%
iter 380: loss 5.9731, time 74.54ms, mfu 14.69%
iter 390: loss 6.0688, time 74.52ms, mfu 14.69%
iter 400: loss 6.1503, time 74.43ms, mfu 14.69%
iter 410: loss 6.1224, time 74.39ms, mfu 14.69%
iter 420: loss 6.0637, time 74.55ms, mfu 14.68%
iter 430: loss 6.1722, time 74.40ms, mfu 14.69%
iter 440: loss 6.0625, time 74.49ms, mfu 14.68%
iter 450: loss 5.8488, time 74.50ms, mfu 14.68%
iter 460: loss 6.0803, time 74.46ms, mfu 14.68%
iter 470: loss 6.5041, time 74.49ms, mfu 14.68%
iter 480: loss 6.0515, time 74.55ms, mfu 14.68%
iter 490: loss 6.1367, time 74.52ms, mfu 14.68%
iter 500: loss 5.7901, time 74.50ms, mfu 14.68%
iter 510: loss 5.9570, time 74.50ms, mfu 14.68%
iter 520: loss 6.1255, time 74.53ms, mfu 14.68%
iter 530: loss 6.0548, time 74.43ms, mfu 14.68%
iter 540: loss 5.8446, time 74.53ms, mfu 14.68%
iter 550: loss 5.8797, time 74.54ms, mfu 14.68%
iter 560: loss 6.0472, time 74.45ms, mfu 14.68%
iter 570: loss 6.0181, time 74.55ms, mfu 14.68%
iter 580: loss 5.6462, time 74.55ms, mfu 14.67%
iter 590: loss 5.7340, time 74.55ms, mfu 14.67%
iter 600: loss 5.7802, time 74.52ms, mfu 14.67%
iter 610: loss 5.8721, time 74.51ms, mfu 14.67%
iter 620: loss 5.7825, time 74.45ms, mfu 14.67%
iter 630: loss 5.6940, time 74.62ms, mfu 14.67%
iter 640: loss 5.8231, time 74.45ms, mfu 14.67%
iter 650: loss 5.6814, time 74.50ms, mfu 14.67%
iter 660: loss 5.9737, time 74.55ms, mfu 14.67%
iter 670: loss 5.7621, time 74.51ms, mfu 14.67%
iter 680: loss 5.8772, time 74.57ms, mfu 14.67%
iter 690: loss 5.6779, time 74.47ms, mfu 14.67%
iter 700: loss 5.8907, time 74.47ms, mfu 14.67%
iter 710: loss 5.8107, time 74.49ms, mfu 14.67%
iter 720: loss 5.9095, time 74.49ms, mfu 14.67%
iter 730: loss 5.6797, time 74.54ms, mfu 14.67%
iter 740: loss 5.7333, time 74.51ms, mfu 14.67%
iter 750: loss 5.7261, time 74.60ms, mfu 14.67%
iter 760: loss 5.5578, time 74.50ms, mfu 14.67%
iter 770: loss 5.6925, time 74.51ms, mfu 14.67%
iter 780: loss 5.7621, time 74.41ms, mfu 14.67%
iter 790: loss 5.6755, time 74.60ms, mfu 14.67%
iter 800: loss 5.6227, time 74.83ms, mfu 14.66%
iter 810: loss 5.6879, time 74.59ms, mfu 14.66%
iter 820: loss 5.6038, time 74.51ms, mfu 14.66%
iter 830: loss 5.6974, time 74.41ms, mfu 14.67%
