Overriding config with ./config/train_nano_gpt2.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-nano-gpt2-ReGLU'
eval_interval = 500 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'owt'
wandb_run_name = 'nano-gpt2'

dataset = 'openwebtext'
gradient_accumulation_steps = 2
batch_size = 8
block_size = 1024 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 1e5
lr_decay_iters = 1e5 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 29.94M
num decayed parameter tensors: 32, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.8898, val loss 10.8888
iter 0: loss 10.8843, time 19629.14ms, mfu -100.00%
iter 10: loss 10.2146, time 256.05ms, mfu 4.26%
iter 20: loss 9.6006, time 256.21ms, mfu 4.26%
iter 30: loss 8.6098, time 256.15ms, mfu 4.26%
iter 40: loss 7.5991, time 256.17ms, mfu 4.26%
iter 50: loss 7.2574, time 255.76ms, mfu 4.26%
iter 60: loss 7.5036, time 255.50ms, mfu 4.27%
iter 70: loss 7.1223, time 255.15ms, mfu 4.27%
iter 80: loss 6.9137, time 256.22ms, mfu 4.27%
iter 90: loss 6.9053, time 255.46ms, mfu 4.27%
iter 100: loss 7.2198, time 254.87ms, mfu 4.27%
iter 110: loss 6.5947, time 255.45ms, mfu 4.27%
iter 120: loss 6.6552, time 255.96ms, mfu 4.27%
iter 130: loss 6.7120, time 255.34ms, mfu 4.27%
iter 140: loss 6.3797, time 255.48ms, mfu 4.27%
iter 150: loss 6.7218, time 255.83ms, mfu 4.27%
iter 160: loss 6.3171, time 255.66ms, mfu 4.27%
iter 170: loss 6.4140, time 255.24ms, mfu 4.27%
iter 180: loss 6.4125, time 255.44ms, mfu 4.27%
iter 190: loss 6.0702, time 255.22ms, mfu 4.27%
iter 200: loss 6.6725, time 255.53ms, mfu 4.27%
iter 210: loss 6.2660, time 256.16ms, mfu 4.27%
iter 220: loss 6.4292, time 255.22ms, mfu 4.27%
iter 230: loss 6.3329, time 255.04ms, mfu 4.27%
iter 240: loss 6.1718, time 255.78ms, mfu 4.27%
iter 250: loss 6.5120, time 256.09ms, mfu 4.27%
iter 260: loss 6.0312, time 255.39ms, mfu 4.27%
iter 270: loss 6.1309, time 254.77ms, mfu 4.27%
iter 280: loss 6.5834, time 255.02ms, mfu 4.27%
iter 290: loss 5.9850, time 255.14ms, mfu 4.27%
iter 300: loss 6.2023, time 255.70ms, mfu 4.27%
iter 310: loss 6.4224, time 254.83ms, mfu 4.28%
iter 320: loss 6.0642, time 255.24ms, mfu 4.28%
iter 330: loss 6.5542, time 255.97ms, mfu 4.27%
iter 340: loss 6.3202, time 255.23ms, mfu 4.28%
iter 350: loss 6.0942, time 254.62ms, mfu 4.28%
iter 360: loss 6.1418, time 255.91ms, mfu 4.28%
iter 370: loss 6.0694, time 255.83ms, mfu 4.27%
iter 380: loss 6.1704, time 255.43ms, mfu 4.27%
iter 390: loss 6.2644, time 255.23ms, mfu 4.28%
iter 400: loss 6.3765, time 255.45ms, mfu 4.28%
iter 410: loss 6.2426, time 254.89ms, mfu 4.28%
iter 420: loss 6.0159, time 255.08ms, mfu 4.28%
iter 430: loss 6.3143, time 255.80ms, mfu 4.28%
iter 440: loss 5.8600, time 255.55ms, mfu 4.28%
iter 450: loss 5.9256, time 254.84ms, mfu 4.28%
iter 460: loss 5.9307, time 254.93ms, mfu 4.28%
iter 470: loss 6.0017, time 254.93ms, mfu 4.28%
iter 480: loss 5.7479, time 255.25ms, mfu 4.28%
iter 490: loss 5.7533, time 255.09ms, mfu 4.28%
step 500: train loss 5.9431, val loss 5.9563
saving checkpoint to out-nano-gpt2-ReGLU
iter 500: loss 5.7593, time 10795.31ms, mfu 3.86%
iter 510: loss 5.9331, time 255.37ms, mfu 3.90%
iter 520: loss 5.8061, time 255.32ms, mfu 3.94%
iter 530: loss 5.7762, time 254.84ms, mfu 3.97%
iter 540: loss 6.2098, time 255.25ms, mfu 4.00%
iter 550: loss 5.7551, time 255.64ms, mfu 4.03%
iter 560: loss 6.1112, time 255.77ms, mfu 4.05%
iter 570: loss 6.0942, time 256.13ms, mfu 4.08%
iter 580: loss 5.9036, time 254.92ms, mfu 4.10%
iter 590: loss 6.0932, time 256.01ms, mfu 4.11%
iter 600: loss 5.7416, time 255.69ms, mfu 4.13%
iter 610: loss 6.1194, time 255.60ms, mfu 4.14%
iter 620: loss 5.4987, time 254.88ms, mfu 4.16%
iter 630: loss 5.5698, time 255.56ms, mfu 4.17%
iter 640: loss 5.5266, time 255.09ms, mfu 4.18%
iter 650: loss 5.8602, time 256.33ms, mfu 4.19%
iter 660: loss 5.7522, time 255.11ms, mfu 4.20%
iter 670: loss 5.7428, time 256.02ms, mfu 4.20%
iter 680: loss 5.6623, time 255.64ms, mfu 4.21%
iter 690: loss 5.6380, time 256.90ms, mfu 4.21%
iter 700: loss 5.8155, time 254.88ms, mfu 4.22%
iter 710: loss 5.5547, time 255.69ms, mfu 4.23%
iter 720: loss 5.8045, time 255.37ms, mfu 4.23%
iter 730: loss 5.9289, time 255.92ms, mfu 4.24%
iter 740: loss 5.7505, time 255.06ms, mfu 4.24%
iter 750: loss 5.8124, time 255.73ms, mfu 4.24%
iter 760: loss 5.7622, time 255.41ms, mfu 4.25%
iter 770: loss 5.8576, time 254.61ms, mfu 4.25%
iter 780: loss 5.6919, time 255.03ms, mfu 4.25%
iter 790: loss 5.8448, time 255.71ms, mfu 4.26%
iter 800: loss 6.0695, time 255.15ms, mfu 4.26%
iter 810: loss 5.7309, time 255.06ms, mfu 4.26%
iter 820: loss 6.0470, time 255.32ms, mfu 4.26%
iter 830: loss 5.6998, time 255.54ms, mfu 4.26%
iter 840: loss 5.7433, time 254.71ms, mfu 4.27%
iter 850: loss 5.5593, time 255.04ms, mfu 4.27%
