Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-SwiGLU'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

# max_iters = 1e5
max_iters = 1e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 29.94M
num decayed parameter tensors: 32, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.8831, val loss 10.8827
iter 0: loss 10.8800, time 34181.75ms, mfu -100.00%
iter 10: loss 10.2231, time 73.96ms, mfu 14.76%
iter 20: loss 9.5874, time 73.96ms, mfu 14.76%
iter 30: loss 8.6351, time 73.97ms, mfu 14.76%
iter 40: loss 7.9078, time 73.82ms, mfu 14.77%
iter 50: loss 7.3191, time 73.98ms, mfu 14.77%
iter 60: loss 7.1685, time 73.95ms, mfu 14.77%
iter 70: loss 7.1117, time 73.93ms, mfu 14.77%
iter 80: loss 6.9354, time 74.06ms, mfu 14.76%
iter 90: loss 7.1190, time 73.96ms, mfu 14.76%
iter 100: loss 7.0046, time 73.94ms, mfu 14.76%
iter 110: loss 6.8167, time 73.97ms, mfu 14.76%
iter 120: loss 6.7407, time 74.03ms, mfu 14.76%
iter 130: loss 6.5005, time 74.04ms, mfu 14.76%
iter 140: loss 6.8269, time 73.94ms, mfu 14.76%
iter 150: loss 6.3738, time 73.99ms, mfu 14.76%
iter 160: loss 6.6215, time 73.96ms, mfu 14.76%
iter 170: loss 6.1666, time 73.99ms, mfu 14.76%
iter 180: loss 6.1104, time 74.05ms, mfu 14.76%
iter 190: loss 6.1468, time 73.99ms, mfu 14.76%
iter 200: loss 6.4045, time 73.99ms, mfu 14.76%
iter 210: loss 6.3317, time 73.99ms, mfu 14.76%
iter 220: loss 6.2041, time 74.00ms, mfu 14.76%
iter 230: loss 6.3076, time 74.01ms, mfu 14.76%
iter 240: loss 6.1988, time 74.00ms, mfu 14.76%
iter 250: loss 6.3354, time 74.06ms, mfu 14.76%
iter 260: loss 6.1341, time 74.09ms, mfu 14.76%
iter 270: loss 6.2152, time 74.16ms, mfu 14.75%
iter 280: loss 6.3813, time 74.11ms, mfu 14.75%
iter 290: loss 6.1872, time 74.06ms, mfu 14.75%
iter 300: loss 6.0545, time 74.05ms, mfu 14.75%
iter 310: loss 6.1466, time 74.14ms, mfu 14.75%
iter 320: loss 6.3296, time 74.12ms, mfu 14.75%
iter 330: loss 6.1273, time 74.12ms, mfu 14.74%
iter 340: loss 6.4157, time 74.12ms, mfu 14.74%
iter 350: loss 6.3224, time 74.25ms, mfu 14.74%
iter 360: loss 6.1916, time 74.18ms, mfu 14.74%
iter 370: loss 6.4580, time 74.15ms, mfu 14.74%
iter 380: loss 6.1879, time 74.10ms, mfu 14.74%
iter 390: loss 5.9187, time 74.07ms, mfu 14.74%
iter 400: loss 6.0018, time 74.14ms, mfu 14.74%
iter 410: loss 6.0797, time 74.10ms, mfu 14.74%
iter 420: loss 5.9680, time 74.12ms, mfu 14.74%
iter 430: loss 5.9702, time 74.08ms, mfu 14.74%
iter 440: loss 5.9188, time 74.19ms, mfu 14.73%
iter 450: loss 5.9564, time 74.24ms, mfu 14.73%
iter 460: loss 5.9199, time 74.12ms, mfu 14.73%
iter 470: loss 5.9229, time 74.08ms, mfu 14.73%
iter 480: loss 5.9075, time 74.15ms, mfu 14.73%
iter 490: loss 6.0885, time 74.14ms, mfu 14.73%
iter 500: loss 5.8431, time 74.13ms, mfu 14.73%
iter 510: loss 5.9018, time 74.12ms, mfu 14.73%
iter 520: loss 5.9561, time 74.09ms, mfu 14.73%
iter 530: loss 5.9057, time 74.03ms, mfu 14.73%
iter 540: loss 5.9150, time 74.11ms, mfu 14.73%
iter 550: loss 5.9321, time 74.14ms, mfu 14.73%
iter 560: loss 5.8408, time 74.10ms, mfu 14.73%
iter 570: loss 6.0784, time 74.16ms, mfu 14.73%
iter 580: loss 6.1327, time 74.14ms, mfu 14.73%
iter 590: loss 5.9351, time 74.13ms, mfu 14.73%
iter 600: loss 5.8865, time 74.03ms, mfu 14.73%
iter 610: loss 5.9967, time 74.09ms, mfu 14.73%
iter 620: loss 5.8357, time 74.14ms, mfu 14.73%
iter 630: loss 5.7995, time 74.13ms, mfu 14.73%
iter 640: loss 5.6970, time 74.12ms, mfu 14.73%
iter 650: loss 5.6923, time 74.11ms, mfu 14.73%
iter 660: loss 5.5747, time 74.11ms, mfu 14.73%
iter 670: loss 5.5374, time 74.12ms, mfu 14.73%
iter 680: loss 5.8162, time 74.15ms, mfu 14.73%
iter 690: loss 5.8547, time 74.09ms, mfu 14.73%
iter 700: loss 5.7777, time 74.16ms, mfu 14.73%
iter 710: loss 5.6752, time 74.13ms, mfu 14.73%
iter 720: loss 5.7805, time 74.10ms, mfu 14.73%
iter 730: loss 5.7106, time 74.15ms, mfu 14.73%
iter 740: loss 5.7382, time 74.11ms, mfu 14.73%
iter 750: loss 5.8107, time 74.10ms, mfu 14.73%
iter 760: loss 5.8083, time 74.13ms, mfu 14.73%
iter 770: loss 5.9711, time 74.14ms, mfu 14.73%
iter 780: loss 5.7383, time 74.24ms, mfu 14.73%
iter 790: loss 5.6291, time 74.14ms, mfu 14.73%
iter 800: loss 5.9755, time 74.16ms, mfu 14.73%
iter 810: loss 5.7942, time 74.17ms, mfu 14.73%
iter 820: loss 5.7528, time 74.14ms, mfu 14.73%
iter 830: loss 5.5947, time 74.10ms, mfu 14.73%
iter 840: loss 5.6990, time 74.11ms, mfu 14.73%
