Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-BiLinReGLU'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

# max_iters = 1e5
max_iters = 2e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 29.94M
num decayed parameter tensors: 38, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
0.4986003239949544
0.4977925618489583
0.49501673380533856
0.4971199035644531
0.5071999231974283
0.5013432502746582
step 0: train loss 10.8583, val loss 10.8572
iter 0: loss 10.8614, time 36983.96ms, mfu -100.00%
iter 10: loss 10.1666, time 74.64ms, mfu 14.63%
iter 20: loss 9.5161, time 74.21ms, mfu 14.64%
iter 30: loss 8.5223, time 75.00ms, mfu 14.63%
iter 40: loss 7.8336, time 74.70ms, mfu 14.63%
iter 50: loss 7.2859, time 74.74ms, mfu 14.63%
iter 60: loss 7.1420, time 73.92ms, mfu 14.64%
iter 70: loss 7.0920, time 74.79ms, mfu 14.64%
iter 80: loss 6.9031, time 74.98ms, mfu 14.63%
iter 90: loss 7.0788, time 74.74ms, mfu 14.63%
iter 100: loss 6.9647, time 74.68ms, mfu 14.63%
iter 110: loss 6.7863, time 74.76ms, mfu 14.63%
iter 120: loss 6.7220, time 74.72ms, mfu 14.62%
iter 130: loss 6.4872, time 74.74ms, mfu 14.62%
iter 140: loss 6.8254, time 74.63ms, mfu 14.62%
iter 150: loss 6.3488, time 74.84ms, mfu 14.62%
iter 160: loss 6.5931, time 74.61ms, mfu 14.62%
iter 170: loss 6.1256, time 73.43ms, mfu 14.65%
iter 180: loss 6.0833, time 74.89ms, mfu 14.64%
iter 190: loss 6.1195, time 74.72ms, mfu 14.64%
iter 200: loss 6.4127, time 73.45ms, mfu 14.66%
iter 210: loss 6.3306, time 74.71ms, mfu 14.66%
iter 220: loss 6.1892, time 74.80ms, mfu 14.65%
iter 230: loss 6.2983, time 74.62ms, mfu 14.65%
iter 240: loss 6.1902, time 74.67ms, mfu 14.65%
iter 250: loss 6.3082, time 75.02ms, mfu 14.64%
iter 260: loss 6.1220, time 74.68ms, mfu 14.64%
iter 270: loss 6.2133, time 74.73ms, mfu 14.63%
iter 280: loss 6.3874, time 74.75ms, mfu 14.63%
iter 290: loss 6.1836, time 74.66ms, mfu 14.63%
iter 300: loss 6.0528, time 74.56ms, mfu 14.63%
iter 310: loss 6.1361, time 74.70ms, mfu 14.63%
iter 320: loss 6.3290, time 74.86ms, mfu 14.63%
iter 330: loss 6.1434, time 74.52ms, mfu 14.63%
iter 340: loss 6.4995, time 74.73ms, mfu 14.63%
iter 350: loss 6.2837, time 74.63ms, mfu 14.63%
iter 360: loss 6.1742, time 74.73ms, mfu 14.63%
iter 370: loss 6.4579, time 74.81ms, mfu 14.62%
iter 380: loss 6.1966, time 74.75ms, mfu 14.62%
iter 390: loss 5.9251, time 74.77ms, mfu 14.62%
iter 400: loss 6.0072, time 74.83ms, mfu 14.62%
iter 410: loss 6.0849, time 74.78ms, mfu 14.62%
iter 420: loss 5.9704, time 74.96ms, mfu 14.61%
iter 430: loss 5.9848, time 74.71ms, mfu 14.61%
iter 440: loss 5.9090, time 74.79ms, mfu 14.61%
iter 450: loss 5.9723, time 74.82ms, mfu 14.61%
iter 460: loss 5.9313, time 74.77ms, mfu 14.61%
iter 470: loss 5.9241, time 74.79ms, mfu 14.61%
iter 480: loss 5.9285, time 74.80ms, mfu 14.61%
iter 490: loss 6.1084, time 74.79ms, mfu 14.61%
iter 500: loss 5.8540, time 74.85ms, mfu 14.60%
iter 510: loss 5.9112, time 74.77ms, mfu 14.60%
iter 520: loss 5.9797, time 74.73ms, mfu 14.60%
iter 530: loss 5.9163, time 74.67ms, mfu 14.61%
iter 540: loss 5.9138, time 74.68ms, mfu 14.61%
iter 550: loss 5.9342, time 74.84ms, mfu 14.61%
iter 560: loss 5.8779, time 74.86ms, mfu 14.60%
iter 570: loss 6.0991, time 74.76ms, mfu 14.60%
iter 580: loss 6.1539, time 74.79ms, mfu 14.60%
iter 590: loss 5.9533, time 74.78ms, mfu 14.60%
iter 600: loss 5.9177, time 74.74ms, mfu 14.60%
iter 610: loss 6.0328, time 74.71ms, mfu 14.61%
iter 620: loss 5.8551, time 74.90ms, mfu 14.60%
iter 630: loss 5.8345, time 74.56ms, mfu 14.61%
iter 640: loss 5.7467, time 75.08ms, mfu 14.60%
iter 650: loss 5.7040, time 74.69ms, mfu 14.60%
iter 660: loss 5.6043, time 74.91ms, mfu 14.60%
iter 670: loss 5.5724, time 74.71ms, mfu 14.60%
iter 680: loss 5.8470, time 74.83ms, mfu 14.60%
iter 690: loss 5.9060, time 74.78ms, mfu 14.60%
iter 700: loss 5.8107, time 74.85ms, mfu 14.60%
iter 710: loss 5.7426, time 74.78ms, mfu 14.60%
iter 720: loss 5.8255, time 75.27ms, mfu 14.59%
iter 730: loss 5.7498, time 74.86ms, mfu 14.59%
iter 740: loss 5.7898, time 74.73ms, mfu 14.59%
iter 750: loss 5.8756, time 74.65ms, mfu 14.60%
iter 760: loss 5.8568, time 74.63ms, mfu 14.60%
iter 770: loss 6.0100, time 74.92ms, mfu 14.60%
iter 780: loss 5.7756, time 74.48ms, mfu 14.60%
iter 790: loss 5.6925, time 74.80ms, mfu 14.60%
iter 800: loss 6.0485, time 74.86ms, mfu 14.60%
iter 810: loss 5.8967, time 74.69ms, mfu 14.60%
iter 820: loss 5.8387, time 74.87ms, mfu 14.60%
