Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.63M
num decayed parameter tensors: 38, with 10,726,272 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.3058, val loss 4.3033
iter 0: loss 4.3010, time 17158.06ms, mfu -100.00%
iter 10: loss 3.4141, time 79.76ms, mfu 4.67%
iter 20: loss 3.1350, time 79.73ms, mfu 4.67%
iter 30: loss 2.7719, time 79.75ms, mfu 4.67%
iter 40: loss 2.5739, time 79.80ms, mfu 4.67%
iter 50: loss 2.5357, time 79.76ms, mfu 4.67%
iter 60: loss 2.4816, time 79.98ms, mfu 4.67%
iter 70: loss 2.4553, time 79.98ms, mfu 4.66%
iter 80: loss 2.4651, time 79.95ms, mfu 4.66%
iter 90: loss 2.4589, time 79.99ms, mfu 4.66%
iter 100: loss 2.4234, time 79.97ms, mfu 4.66%
iter 110: loss 2.3951, time 79.97ms, mfu 4.66%
iter 120: loss 2.3621, time 79.95ms, mfu 4.66%
iter 130: loss 2.3486, time 79.97ms, mfu 4.66%
iter 140: loss 2.3999, time 79.98ms, mfu 4.66%
iter 150: loss 2.3315, time 79.98ms, mfu 4.66%
iter 160: loss 2.3189, time 79.95ms, mfu 4.66%
iter 170: loss 2.2959, time 80.04ms, mfu 4.66%
iter 180: loss 2.2203, time 79.96ms, mfu 4.66%
iter 190: loss 2.1986, time 79.97ms, mfu 4.66%
iter 200: loss 2.1672, time 80.17ms, mfu 4.66%
iter 210: loss 2.0716, time 79.97ms, mfu 4.66%
iter 220: loss 2.0286, time 79.96ms, mfu 4.66%
iter 230: loss 1.9533, time 80.00ms, mfu 4.65%
iter 240: loss 1.9521, time 79.98ms, mfu 4.65%
step 250: train loss 1.8422, val loss 1.9634
saving checkpoint to out-shakespeare-char
iter 250: loss 1.8980, time 9261.64ms, mfu 4.19%
iter 260: loss 1.8670, time 79.97ms, mfu 4.24%
iter 270: loss 1.8268, time 79.96ms, mfu 4.28%
iter 280: loss 1.7908, time 79.97ms, mfu 4.32%
iter 290: loss 1.7623, time 79.97ms, mfu 4.35%
iter 300: loss 1.7718, time 79.96ms, mfu 4.38%
iter 310: loss 1.7206, time 79.98ms, mfu 4.41%
iter 320: loss 1.6957, time 79.96ms, mfu 4.43%
iter 330: loss 1.7005, time 79.96ms, mfu 4.46%
iter 340: loss 1.6458, time 79.97ms, mfu 4.48%
iter 350: loss 1.6219, time 79.96ms, mfu 4.49%
iter 360: loss 1.5948, time 80.03ms, mfu 4.51%
iter 370: loss 1.6215, time 80.02ms, mfu 4.52%
iter 380: loss 1.5773, time 79.99ms, mfu 4.54%
iter 390: loss 1.5756, time 79.95ms, mfu 4.55%
iter 400: loss 1.5509, time 79.97ms, mfu 4.56%
iter 410: loss 1.5535, time 79.97ms, mfu 4.57%
iter 420: loss 1.5714, time 79.95ms, mfu 4.58%
iter 430: loss 1.5333, time 79.96ms, mfu 4.58%
iter 440: loss 1.5012, time 79.96ms, mfu 4.59%
iter 450: loss 1.5324, time 79.96ms, mfu 4.60%
iter 460: loss 1.5241, time 79.96ms, mfu 4.60%
iter 470: loss 1.4813, time 79.96ms, mfu 4.61%
iter 480: loss 1.4989, time 79.95ms, mfu 4.61%
iter 490: loss 1.4971, time 79.95ms, mfu 4.62%
step 500: train loss 1.4273, val loss 1.6236
saving checkpoint to out-shakespeare-char
iter 500: loss 1.4588, time 9227.93ms, mfu 4.16%
iter 510: loss 1.4452, time 79.99ms, mfu 4.21%
iter 520: loss 1.4262, time 79.98ms, mfu 4.25%
iter 530: loss 1.4391, time 79.92ms, mfu 4.29%
iter 540: loss 1.4326, time 79.97ms, mfu 4.33%
iter 550: loss 1.4482, time 79.97ms, mfu 4.36%
iter 560: loss 1.4247, time 79.97ms, mfu 4.39%
iter 570: loss 1.4192, time 79.96ms, mfu 4.42%
iter 580: loss 1.3702, time 79.97ms, mfu 4.44%
iter 590: loss 1.3873, time 79.96ms, mfu 4.46%
iter 600: loss 1.3821, time 79.96ms, mfu 4.48%
iter 610: loss 1.3999, time 79.98ms, mfu 4.50%
iter 620: loss 1.4029, time 79.98ms, mfu 4.51%
iter 630: loss 1.3787, time 79.98ms, mfu 4.53%
iter 640: loss 1.4209, time 79.98ms, mfu 4.54%
iter 650: loss 1.3975, time 79.96ms, mfu 4.55%
iter 660: loss 1.3398, time 80.05ms, mfu 4.56%
iter 670: loss 1.3742, time 79.96ms, mfu 4.57%
iter 680: loss 1.3554, time 79.98ms, mfu 4.58%
iter 690: loss 1.3848, time 79.97ms, mfu 4.59%
iter 700: loss 1.3440, time 79.95ms, mfu 4.59%
iter 710: loss 1.3490, time 79.97ms, mfu 4.60%
iter 720: loss 1.3477, time 79.96ms, mfu 4.61%
iter 730: loss 1.3657, time 79.96ms, mfu 4.61%
iter 740: loss 1.3453, time 79.97ms, mfu 4.61%
step 750: train loss 1.2946, val loss 1.5272
saving checkpoint to out-shakespeare-char
iter 750: loss 1.3162, time 9235.29ms, mfu 4.16%
iter 760: loss 1.3503, time 79.97ms, mfu 4.21%
iter 770: loss 1.3430, time 80.00ms, mfu 4.25%
iter 780: loss 1.3210, time 79.97ms, mfu 4.29%
iter 790: loss 1.3266, time 79.98ms, mfu 4.33%
iter 800: loss 1.3255, time 79.97ms, mfu 4.36%
iter 810: loss 1.3122, time 80.03ms, mfu 4.39%
iter 820: loss 1.3367, time 79.98ms, mfu 4.42%
