Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 32, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2339, val loss 4.2302
iter 0: loss 4.2287, time 17339.30ms, mfu -100.00%
iter 10: loss 3.3601, time 73.72ms, mfu 5.05%
iter 20: loss 2.8847, time 73.54ms, mfu 5.06%
iter 30: loss 2.6269, time 73.61ms, mfu 5.06%
iter 40: loss 2.5449, time 73.60ms, mfu 5.06%
iter 50: loss 2.4961, time 73.62ms, mfu 5.06%
iter 60: loss 2.4720, time 73.64ms, mfu 5.06%
iter 70: loss 2.4718, time 73.62ms, mfu 5.06%
iter 80: loss 2.4441, time 73.60ms, mfu 5.06%
iter 90: loss 2.4340, time 73.62ms, mfu 5.06%
iter 100: loss 2.4270, time 73.61ms, mfu 5.06%
iter 110: loss 2.4008, time 73.61ms, mfu 5.06%
iter 120: loss 2.3891, time 73.63ms, mfu 5.06%
iter 130: loss 2.4020, time 73.64ms, mfu 5.06%
iter 140: loss 2.3355, time 73.61ms, mfu 5.06%
iter 150: loss 2.3241, time 73.61ms, mfu 5.06%
iter 160: loss 2.2973, time 73.65ms, mfu 5.06%
iter 170: loss 2.2375, time 73.67ms, mfu 5.06%
iter 180: loss 2.1970, time 73.65ms, mfu 5.06%
iter 190: loss 2.1670, time 73.63ms, mfu 5.06%
iter 200: loss 2.0892, time 73.68ms, mfu 5.06%
iter 210: loss 2.0331, time 73.60ms, mfu 5.06%
iter 220: loss 1.9994, time 73.63ms, mfu 5.06%
iter 230: loss 1.9889, time 73.63ms, mfu 5.06%
iter 240: loss 1.9380, time 73.61ms, mfu 5.06%
step 250: train loss 1.8352, val loss 1.9774
saving checkpoint to out-shakespeare-char
iter 250: loss 1.8848, time 8495.51ms, mfu 4.56%
iter 260: loss 1.8295, time 73.60ms, mfu 4.61%
iter 270: loss 1.8261, time 73.59ms, mfu 4.65%
iter 280: loss 1.7848, time 73.60ms, mfu 4.70%
iter 290: loss 1.7486, time 73.59ms, mfu 4.73%
iter 300: loss 1.7305, time 73.62ms, mfu 4.77%
iter 310: loss 1.7290, time 73.60ms, mfu 4.79%
iter 320: loss 1.6936, time 73.66ms, mfu 4.82%
iter 330: loss 1.6554, time 73.62ms, mfu 4.85%
iter 340: loss 1.6426, time 73.61ms, mfu 4.87%
iter 350: loss 1.6156, time 73.60ms, mfu 4.89%
iter 360: loss 1.6192, time 73.59ms, mfu 4.90%
iter 370: loss 1.5892, time 73.63ms, mfu 4.92%
iter 380: loss 1.5990, time 73.68ms, mfu 4.93%
iter 390: loss 1.5519, time 73.61ms, mfu 4.95%
iter 400: loss 1.5495, time 73.68ms, mfu 4.96%
iter 410: loss 1.5405, time 73.57ms, mfu 4.97%
iter 420: loss 1.5317, time 73.62ms, mfu 4.98%
iter 430: loss 1.5320, time 73.63ms, mfu 4.99%
iter 440: loss 1.5236, time 73.60ms, mfu 4.99%
iter 450: loss 1.4743, time 73.60ms, mfu 5.00%
iter 460: loss 1.4747, time 73.62ms, mfu 5.01%
iter 470: loss 1.4592, time 73.62ms, mfu 5.01%
iter 480: loss 1.4468, time 73.62ms, mfu 5.02%
iter 490: loss 1.4606, time 73.62ms, mfu 5.02%
step 500: train loss 1.4031, val loss 1.6105
saving checkpoint to out-shakespeare-char
iter 500: loss 1.4203, time 8488.73ms, mfu 4.52%
iter 510: loss 1.4233, time 73.61ms, mfu 4.58%
iter 520: loss 1.4406, time 73.57ms, mfu 4.63%
iter 530: loss 1.3934, time 73.62ms, mfu 4.67%
iter 540: loss 1.3988, time 73.63ms, mfu 4.71%
iter 550: loss 1.4078, time 73.61ms, mfu 4.74%
iter 560: loss 1.4061, time 73.58ms, mfu 4.78%
iter 570: loss 1.4390, time 73.63ms, mfu 4.80%
iter 580: loss 1.4167, time 73.66ms, mfu 4.83%
iter 590: loss 1.3811, time 73.58ms, mfu 4.85%
iter 600: loss 1.3612, time 73.63ms, mfu 4.87%
iter 610: loss 1.3659, time 73.60ms, mfu 4.89%
iter 620: loss 1.3843, time 73.60ms, mfu 4.91%
iter 630: loss 1.3573, time 73.60ms, mfu 4.93%
iter 640: loss 1.3633, time 73.58ms, mfu 4.94%
iter 650: loss 1.3667, time 73.57ms, mfu 4.95%
iter 660: loss 1.3677, time 73.60ms, mfu 4.96%
iter 670: loss 1.3296, time 73.63ms, mfu 4.97%
iter 680: loss 1.3462, time 73.60ms, mfu 4.98%
iter 690: loss 1.3301, time 73.59ms, mfu 4.99%
iter 700: loss 1.3714, time 73.56ms, mfu 5.00%
iter 710: loss 1.3328, time 73.61ms, mfu 5.00%
iter 720: loss 1.3309, time 73.59ms, mfu 5.01%
iter 730: loss 1.3190, time 73.60ms, mfu 5.02%
iter 740: loss 1.3322, time 73.66ms, mfu 5.02%
step 750: train loss 1.2735, val loss 1.5131
saving checkpoint to out-shakespeare-char
iter 750: loss 1.2892, time 8480.84ms, mfu 4.52%
iter 760: loss 1.3396, time 73.68ms, mfu 4.58%
iter 770: loss 1.3332, time 73.59ms, mfu 4.62%
iter 780: loss 1.3336, time 73.63ms, mfu 4.67%
iter 790: loss 1.3091, time 73.61ms, mfu 4.71%
iter 800: loss 1.2750, time 73.61ms, mfu 4.74%
iter 810: loss 1.3092, time 73.56ms, mfu 4.78%
iter 820: loss 1.2989, time 73.61ms, mfu 4.80%
