Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2664, time 15953.78ms, mfu -100.00%
iter 10: loss 3.2448, time 72.92ms, mfu 5.11%
iter 20: loss 2.7915, time 72.69ms, mfu 5.11%
iter 30: loss 2.6379, time 72.80ms, mfu 5.11%
iter 40: loss 2.5753, time 72.63ms, mfu 5.11%
iter 50: loss 2.5264, time 72.99ms, mfu 5.11%
iter 60: loss 2.5135, time 72.94ms, mfu 5.11%
iter 70: loss 2.4960, time 72.65ms, mfu 5.11%
iter 80: loss 2.4972, time 72.84ms, mfu 5.11%
iter 90: loss 2.4680, time 72.75ms, mfu 5.12%
iter 100: loss 2.4614, time 72.76ms, mfu 5.12%
iter 110: loss 2.4529, time 72.69ms, mfu 5.12%
iter 120: loss 2.4265, time 72.73ms, mfu 5.12%
iter 130: loss 2.4149, time 72.67ms, mfu 5.12%
iter 140: loss 2.4038, time 72.69ms, mfu 5.12%
iter 150: loss 2.4129, time 72.53ms, mfu 5.12%
iter 160: loss 2.3710, time 72.67ms, mfu 5.12%
iter 170: loss 2.3715, time 72.69ms, mfu 5.12%
iter 180: loss 2.3206, time 72.68ms, mfu 5.12%
iter 190: loss 2.2678, time 72.72ms, mfu 5.12%
iter 200: loss 2.2245, time 72.68ms, mfu 5.12%
iter 210: loss 2.1496, time 72.81ms, mfu 5.12%
iter 220: loss 2.1423, time 72.76ms, mfu 5.12%
iter 230: loss 2.0785, time 72.84ms, mfu 5.12%
iter 240: loss 2.0780, time 72.68ms, mfu 5.12%
step 250: train loss 1.9706, val loss 2.0661
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0438, time 8357.88ms, mfu 4.61%
iter 260: loss 1.9745, time 72.69ms, mfu 4.67%
iter 270: loss 1.9768, time 72.67ms, mfu 4.71%
iter 280: loss 1.9823, time 72.81ms, mfu 4.75%
iter 290: loss 1.9257, time 72.69ms, mfu 4.79%
iter 300: loss 1.8962, time 72.88ms, mfu 4.82%
iter 310: loss 1.8762, time 72.66ms, mfu 4.85%
iter 320: loss 1.8574, time 72.70ms, mfu 4.88%
iter 330: loss 1.8215, time 72.65ms, mfu 4.90%
iter 340: loss 1.7820, time 72.70ms, mfu 4.93%
iter 350: loss 1.8355, time 72.75ms, mfu 4.95%
iter 360: loss 1.7703, time 72.67ms, mfu 4.96%
iter 370: loss 1.7408, time 72.62ms, mfu 4.98%
iter 380: loss 1.7311, time 72.73ms, mfu 5.00%
iter 390: loss 1.7377, time 72.68ms, mfu 5.01%
iter 400: loss 1.7678, time 72.69ms, mfu 5.02%
iter 410: loss 1.6859, time 72.76ms, mfu 5.03%
iter 420: loss 1.7152, time 72.65ms, mfu 5.04%
iter 430: loss 1.6887, time 72.83ms, mfu 5.05%
iter 440: loss 1.6561, time 72.66ms, mfu 5.06%
iter 450: loss 1.6517, time 72.59ms, mfu 5.06%
iter 460: loss 1.5964, time 72.66ms, mfu 5.07%
iter 470: loss 1.6512, time 72.70ms, mfu 5.08%
iter 480: loss 1.6162, time 72.69ms, mfu 5.08%
iter 490: loss 1.5988, time 72.84ms, mfu 5.08%
step 500: train loss 1.5289, val loss 1.7279
saving checkpoint to out-shakespeare-char
iter 500: loss 1.5940, time 8355.90ms, mfu 4.58%
iter 510: loss 1.6085, time 72.73ms, mfu 4.63%
iter 520: loss 1.5895, time 72.69ms, mfu 4.68%
iter 530: loss 1.5538, time 72.66ms, mfu 4.73%
iter 540: loss 1.6193, time 72.69ms, mfu 4.77%
iter 550: loss 1.5683, time 72.66ms, mfu 4.80%
iter 560: loss 1.5695, time 72.68ms, mfu 4.84%
iter 570: loss 1.5707, time 72.70ms, mfu 4.87%
iter 580: loss 1.5340, time 72.70ms, mfu 4.89%
iter 590: loss 1.4952, time 72.79ms, mfu 4.91%
iter 600: loss 1.5176, time 72.72ms, mfu 4.94%
iter 610: loss 1.5497, time 72.86ms, mfu 4.95%
iter 620: loss 1.5277, time 72.71ms, mfu 4.97%
iter 630: loss 1.5018, time 72.68ms, mfu 4.99%
iter 640: loss 1.4607, time 72.72ms, mfu 5.00%
iter 650: loss 1.4967, time 72.69ms, mfu 5.01%
iter 660: loss 1.5102, time 72.74ms, mfu 5.02%
iter 670: loss 1.4459, time 72.78ms, mfu 5.03%
iter 680: loss 1.5080, time 72.65ms, mfu 5.04%
iter 690: loss 1.4520, time 72.70ms, mfu 5.05%
iter 700: loss 1.4799, time 72.67ms, mfu 5.06%
iter 710: loss 1.4602, time 72.77ms, mfu 5.06%
iter 720: loss 1.4405, time 72.76ms, mfu 5.07%
iter 730: loss 1.4212, time 72.72ms, mfu 5.08%
iter 740: loss 1.4348, time 72.92ms, mfu 5.08%
step 750: train loss 1.3586, val loss 1.5896
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4219, time 8361.90ms, mfu 4.58%
iter 760: loss 1.4402, time 72.76ms, mfu 4.63%
iter 770: loss 1.4235, time 72.67ms, mfu 4.68%
iter 780: loss 1.4179, time 72.68ms, mfu 4.72%
iter 790: loss 1.4240, time 72.65ms, mfu 4.77%
iter 800: loss 1.4291, time 72.69ms, mfu 4.80%
iter 810: loss 1.4041, time 72.68ms, mfu 4.83%
iter 820: loss 1.4076, time 72.68ms, mfu 4.86%
